p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
4.47492705028038e-139	-2.01576653201036	0.099	0.32	6.63497433745072e-135	TXNDC15
2.10453843058208e-101	0.445527549246353	0.869	0.784	3.12039913102405e-97	CD52
1.90293209745526e-91	0.317919571490383	0.978	0.972	2.82147742089691e-87	FOS
5.62740403529032e-91	0.546431054389522	0.674	0.543	8.34375196312495e-87	KLF6
6.51829897773296e-78	0.476847979039692	0.609	0.501	9.66468189428466e-74	ITGB2
3.67368037784019e-67	0.441586533267406	0.737	0.673	5.44696589622366e-63	CRIP1
2.76181974289273e-64	0.68794740344897	0.272	0.133	4.09495013278706e-60	DUSP6
5.66678833783016e-59	0.541596803488129	0.403	0.266	8.40214706850077e-55	DYNLL1
1.36443174205524e-50	0.455485040257913	0.471	0.394	2.0230429439453e-46	RGS2
5.37511875459255e-49	0.350836022341872	0.651	0.601	7.96968857743438e-45	MNDA
1.67782604795206e-44	0.525299131504658	0.325	0.194	2.48771268129851e-40	TMEM176B
2.17669961230521e-44	0.288238638420244	0.855	0.815	3.22739251516494e-40	DUSP1
4.32772878456207e-44	-0.58506650284286	0.134	0.283	6.41672346887018e-40	HLA-DRB5
4.85162155824995e-41	-0.456373197887185	0.046	0.154	7.19349928441719e-37	TIPARP
4.33686187227324e-39	0.282146214400861	0.703	0.669	6.43026509801954e-35	ZFP36
9.37487644110822e-32	0.323798049132576	0.455	0.415	1.39001292992312e-27	JUND
1.96583229317713e-31	0.376533367636069	0.338	0.276	2.91473954109374e-27	TUBA1A
4.51473117927165e-30	0.273418039877119	0.438	0.426	6.69399191950607e-26	MCL1
5.27278866997157e-30	0.470818611150603	0.185	0.097	7.81796376096684e-26	TMEM176A
5.83345818056117e-29	-0.3053277830517	0.412	0.558	8.64926844431805e-25	RPS10
2.55327955270791e-27	0.33076602431404	0.388	0.339	3.78574759280001e-23	KLF2
2.01992505421561e-26	0.273134400126722	0.421	0.388	2.99494287788549e-22	CD44
7.0502613280961e-25	-0.254355266723667	0.147	0.251	1.04534224711681e-20	CDKN1A
1.69004014139631e-24	0.422752322387086	0.132	0.067	2.50582251764831e-20	ANKRD28
1.70574450020396e-24	-0.331630334523011	0.275	0.405	2.52910737045242e-20	MT2A
8.87762947693558e-24	0.322507172050611	0.263	0.226	1.31628612254524e-19	HNRNPU
1.08089395022491e-23	0.27544040528024	0.399	0.363	1.60264145999847e-19	BTG1
1.08871985816273e-23	-0.258569482742368	0.157	0.262	1.61424493369787e-19	CDKN2D
1.15985541819564e-23	-0.458604585190359	0.044	0.12	1.71971762855867e-19	THBS1
5.35763845710535e-23	-0.258439290481617	0.175	0.282	7.9437705403501e-19	NINJ1
7.4493395243036e-23	0.435005158111643	0.137	0.083	1.10451357126849e-18	RHOB
2.05653277060321e-22	0.331311554369688	0.241	0.191	3.04922113897338e-18	PTPN6
3.29855415471079e-22	0.290422505857101	0.273	0.234	4.89076624518969e-18	ABRACL
3.90969113000029e-22	0.381042436821538	0.269	0.198	5.79689903845143e-18	EGR1
1.41681240308888e-21	0.2823184271537	0.442	0.396	2.10070775005989e-17	KLF4
3.9452092081068e-21	0.333652082730799	0.209	0.156	5.84956169285995e-17	COX17
5.82000294185419e-20	0.38222570740046	0.125	0.067	8.6293183618872e-16	SGK1
2.93146286020556e-19	0.306036443469913	0.234	0.198	4.34647998282679e-15	MYADM
3.95920167071704e-19	0.3496025665843	0.11	0.06	5.87030831717215e-15	NR4A1
8.8220240365049e-19	0.407199776577667	0.111	0.065	1.30804150389258e-14	RGCC
1.57777941824471e-18	0.315130672069916	0.325	0.288	2.33937354343143e-14	FOLR3
3.35575817688087e-17	0.329754721335369	0.101	0.063	4.97558264886126e-13	HIPK3
4.55562913238098e-17	0.30181794984555	0.219	0.182	6.75463131458128e-13	MS4A7
7.73157103047376e-17	0.267774005651272	0.222	0.192	1.14636003668834e-12	PPP1CB
9.90026070963829e-17	0.266348754868219	0.254	0.212	1.46791165541807e-12	SNRPG
1.00073860874153e-16	0.268245191809047	0.226	0.193	1.48379513518106e-12	CD97
8.7512736525845e-16	0.261114083129267	0.229	0.197	1.2975513444687e-11	MPEG1
1.30063633943028e-15	0.265958262480848	0.125	0.095	1.92845350047328e-11	EFCAB2
7.12700606033584e-15	0.253423615531528	0.224	0.191	1.05672118856599e-10	SAMHD1
7.20940305485978e-15	0.275997226554797	0.179	0.145	1.06893819094406e-10	TLE4
8.12402407371712e-15	0.25137823869731	0.156	0.133	1.20454904941004e-10	RAB11FIP1
1.20678287452606e-13	-0.352170192630667	0.084	0.15	1.78929696805979e-09	G0S2
1.79746859905249e-13	0.287843970200547	0.126	0.092	2.66510669181513e-09	GIMAP4
5.07092624783735e-13	0.276852170036949	0.212	0.185	7.51866234766844e-09	LILRA5
1.02167938369357e-11	0.288632278544946	0.113	0.079	1.51484402220246e-07	CDC42EP3
1.37080420219396e-10	0.255216274177758	0.119	0.09	2.03249139059298e-06	OTUD1
