p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene
1.39830200112321e-225	1.6417531446574	0.227	0.102	2.07326237706539e-221	TXNDC15
7.94506371396323e-160	0.785724790809921	0.234	0.092	1.17801459686933e-155	FOLR3
6.4520916098958e-139	-0.285146864835286	0.826	0.901	9.5665162299925e-135	CD52
5.12796574511974e-86	-0.419773460954361	0.326	0.439	7.60323481028904e-82	HLA-DRB5
3.60024570461786e-78	-0.288451844131026	0.614	0.694	5.33808430623689e-74	MNDA
5.66951520812922e-62	0.290021584478829	0.606	0.518	8.40619019909319e-58	UBC
9.63056658707495e-59	0.337161156643667	0.351	0.24	1.4279241078656e-54	SMDT1
1.782402003322e-54	-0.266855950606419	0.564	0.629	2.64276745032553e-50	LGALS2
2.78522310077604e-46	0.289108116168074	0.121	0.057	4.12965029152064e-42	TIPARP
3.10201531488985e-41	-0.311265226052121	0.161	0.243	4.59935810738718e-37	DUSP6
2.05791473073354e-37	-0.253524863932166	0.289	0.374	3.05127017125862e-33	DYNLL1
2.17524208943223e-37	0.297765749581122	0.436	0.354	3.22523144600117e-33	IL8
9.62866292817091e-28	-0.327841862848231	0.118	0.164	1.4276418523599e-23	FCGR3A
