id	module	supermodule	dim_1	dim_2	dim_3
TMSB4X	1	1	-1.00145397590241	1.18200619806436	-1.65174348256865
FTL	1	1	-0.882377428480938	1.25035718874758	-1.64421780611082
S100A8	6	1	-0.506523950634683	-1.77952922952392	2.52176583829252
FTH1	1	1	-0.903416038558025	1.30924040391128	-1.57343708644446
B2M	1	1	-1.64038016487513	0.815955799660959	-1.19638778832476
S100A9	6	1	-0.419824508552075	-1.73959527468805	2.48196767574104
LYZ	2	1	-1.13424970799562	-0.877900482001866	1.46632242977842
RPL34	4	1	2.9350867866196	-2.9728826366216	0.153796868798125
TMSB10	5	1	-2.48779556279507	0.561133979575433	-0.323116602667465
FOS	3	1	0.335958570601174	1.86537476233389	2.61826340656228
RPS14	4	1	2.99305496213834	-2.92386126843099	0.0587677817072969
RPL21	4	1	2.98506551823459	-2.46433831472898	-0.322518581948374
RPLP1	4	1	2.57391585684103	-3.38895026206075	0.416843800878401
RPS27	4	1	2.99882099457296	-2.55359408832127	-0.367762000246727
CD74	5	1	-3.23404603686186	1.09795337870209	-0.378253612998029
MT-CO1	3	1	0.507712246606662	0.919416422380926	1.08004986239855
ACTB	4	1	-0.28353971271138	-1.50904567661806	-1.36667874502855
MT-CO2	3	1	0.554472273001744	0.857701966709645	0.993522618663539
S100A4	5	1	-0.925672014611326	-0.496506286437747	-1.55198559970528
RPS18	4	1	2.65403450544494	-3.44518572907808	0.0988383185573351
RPS19	1	1	0.786852155919439	1.63922901692069	-1.97165237541892
HLA-DRA	5	1	-3.17476654745696	1.01742125768177	-0.425499710546345
RPL32	4	1	2.56064647458557	-3.417231689321	0.166035727456706
MT-CO3	3	1	0.506873495797145	0.815524672575184	1.18262341919687
RPS15	4	1	2.8405892734325	-3.35173936650994	0.0454328586296475
RPL10	4	1	2.85769814509484	-2.78837080436356	-0.291947330824625
RPS27A	4	1	2.32274091733765	-3.48893890896821	-0.0727971890466597
LST1	1	1	0.446999267753847	1.32160937736871	-2.05701595071149
RPL7	4	1	2.88695843393934	-2.7287677323498	-0.0242937237035932
RPS13	4	1	2.7333032586602	-3.00510090402193	0.297870425685874
TYROBP	2	1	-1.82442868669235	0.257162737988575	0.996794778164693
TXNDC15	3	1	0.0908833089448371	1.16502720341559	3.3383542237357
RPL13	4	1	2.54410172853901	-3.40051266914293	0.196251116911697
S100A6	6	1	-0.692615222326944	-1.84025704467369	2.52851224795124
CRIP1	1	1	-0.0291569658145918	2.05851091300045	0.612399154911678
RPS2	4	1	2.81924481626684	-2.79073782229885	-0.208367050822865
S100A12	6	1	-0.494266409189486	-1.78023922512633	2.51948245657188
SAT1	1	1	0.300092371234099	1.97981217650943	-0.0598521510705279
PPBP	7	2	7.83041162264335	-1.02913691864228	-2.19539316009126
RPS28	4	1	2.77123939641775	-3.32785603484524	0.177745141776218
RPL11	4	1	2.75427425855307	-3.20029468135249	-0.117129328554273
RPL26	4	1	2.79319026031787	-2.55002519331853	-0.251951762640789
PFDN5	3	1	-0.21911837157329	1.18480657231492	2.93304757979358
CD52	5	1	-0.915234657427855	0.362037156270298	-1.42605629441253
MT-ATP6	3	1	0.555782104710294	0.904262909258786	1.17463700874329
RPL12	4	1	2.81708631834207	-3.26485595541247	-0.100899870517059
MT-ND4	3	1	0.575589950423987	0.977619304459758	1.14762835881984
RPL18A	4	1	2.85504611154306	-2.86963424424746	-0.221442339122519
RPS23	4	1	2.61869366101227	-3.35317094037692	0.0482835918882156
AIF1	1	1	-0.892580179310434	1.20424184750911	-1.68845578149211
RPS15A	4	1	2.76607463593252	-3.32290768318204	-0.120070454925449
RPS9	4	1	2.24617938236834	-2.06724444816176	-0.389455565366575
RPL13A	4	1	2.68779230302671	-3.28556651289355	-0.0398900696171545
RPL41	4	1	3.01357965138125	-2.62324418026099	-0.344787414882596
CST3	5	1	-2.9648454951053	0.903883143512098	-0.375294367284907
RPS4X	4	1	2.70074307404575	-2.9739542668907	-0.0334960264243134
RPL15	4	1	2.65778071248543	-2.68987766792623	-0.241102157952714
RPS3A	4	1	2.56058002469314	-3.00603375317647	0.110842632094612
RPS12	4	1	2.53486160010442	-3.46331768986382	-0.13826892183171
RPS29	4	1	2.59465947953157	-3.27863020003082	-0.418748864159971
EIF1	3	1	-0.104665050567468	1.47735996836068	3.17050058662539
HLA-DPB1	5	1	-3.23025706578351	1.17708749433556	-0.444995151051001
CCL3	3	1	-0.113285579494823	1.7754585712888	3.09172465795339
CYBA	5	1	-1.63294303572059	-0.512809936048214	-0.918712807282845
LGALS1	6	1	-0.215770858806756	-1.44576841281174	2.12985709210887
SERF2	5	1	-1.93767085976227	-0.581632020039677	-0.740621106453403
RPS8	4	1	2.62108005865444	-3.07658287304682	0.161724998937032
TPT1	2	1	0.12929291582287	-0.899152385334722	1.16437231745527
HLA-DRB1	5	1	-3.18386554874334	1.10115078210161	-0.365694418185396
RPS24	4	1	2.42749613181492	-3.0115094364706	0.38698703114836
FCER1G	1	1	-0.335661857889032	0.0839998197068809	-2.00551449735358
RPL3	4	1	2.71845924194903	-2.87795125460874	-0.436640932873788
RPL36	4	1	2.19055825357814	-3.37221508843997	-0.112467314712703
GNLY	1	1	0.35160009207797	2.7354833484865	-3.76327329562128
RPS6	4	1	2.8385671449049	-3.12559094165908	-0.169916157764179
RPL30	4	1	2.85295241311556	-2.60516705101124	-0.280035463532537
MYL6	1	1	0.0668182400979434	-0.158667457159258	-1.6797633054929
RPL27A	4	1	2.65508420812335	-3.25606862923237	-0.323230173096113
RPLP2	4	1	2.22522948243094	-3.38740054511096	0.133074934566705
PFN1	1	1	-0.113752716509071	-0.0638530333350435	-2.13507014010577
