Module1.name,Module2.name,Module1.size,Module2.size,Module1.proportion.overlap,Module2.proportion.overlap,intersection.size,union.size,genome.size,p.value,odds.ratio,Jaccard.index,FDR,Bonferroni
green,2,534,104,0.103,0.529,55,583,15712,3.06931376590072e-53,35.3810789584296,0.0943396226415094,3.44377004534061e-50,3.44377004534061e-50
pink,8,236,82,0.106,0.305,25,293,15712,2.56500908807098e-26,32.0023288667913,0.0853242320819113,1.43897009840782e-23,2.87794019681563e-23
lightyellow,2,130,104,0.146,0.183,19,215,15712,1.17310130363396e-20,31.1676206572495,0.0883720930232558,4.38739887559102e-18,1.3162196626773e-17
red,4,517,66,0.044,0.348,23,560,15712,4.55261657558191e-18,16.3933805697527,0.0410714285714286,1.27700894945073e-15,5.10803579780291e-15
pink,14,236,88,0.081,0.216,19,305,15712,3.90575066186506e-17,19.5253863731082,0.0622950819672131,7.30375373768766e-15,4.3822522426126e-14
skyblue1,14,35,88,0.314,0.125,11,112,15712,3.33239197083603e-17,92.2878070692187,0.0982142857142857,7.30375373768766e-15,3.73894379127802e-14
red,16,517,100,0.048,0.25,25,592,15712,1.17642732164512e-15,10.2390903462018,0.0422297297297297,1.88564493555118e-13,1.31995145488583e-12
yellowgreen,11,72,25,0.097,0.28,7,90,15712,1.41624670974482e-11,93.0018609141156,0.0777777777777778,1.98628601041711e-09,1.58902880833369e-08
darkmagenta,7,148,78,0.074,0.141,11,215,15712,1.61335566578935e-10,18.5541743550125,0.0511627906976744,2.01131673001739e-08,1.81018505701565e-07
darkmagenta,10,148,64,0.054,0.125,8,204,15712,1.45279992649749e-07,15.8128363604386,0.0392156862745098,1.63004151753018e-05,0.000163004151753018
darkmagenta,6,148,58,0.047,0.121,7,199,15712,1.14809059152485e-06,15.0914966965743,0.0351758793969849,0.000107346470307573,0.00128815764369088
darkmagenta,12,148,58,0.047,0.121,7,199,15712,1.14809059152485e-06,15.0914966965743,0.0351758793969849,0.000107346470307573,0.00128815764369088
sienna3,12,72,58,0.069,0.086,5,125,15712,6.65841380283756e-06,21.9170350262791,0.04,0.000574672329752595,0.00747074028678374
lavenderblush3,10,41,64,0.098,0.062,4,101,15712,2.26387396076989e-05,28.0942561981515,0.0396039603960396,0.00181433327427415,0.0254006658398381
plum1,13,69,80,0.072,0.062,5,144,15712,2.62628284360326e-05,16.2028906041318,0.0347222222222222,0.00196445956701524,0.0294668935052286
black,17,243,44,0.025,0.136,6,281,15712,5.55209161822297e-05,10.2766073587582,0.0213523131672598,0.00389340424727886,0.0622944679564617
skyblue3,16,70,100,0.071,0.05,5,165,15712,8.23581828012856e-05,12.5802302470763,0.0303030303030303,0.00543564006488485,0.0924058811030425
purple,3,225,53,0.027,0.113,6,272,15712,0.000105583748822901,8.99541179931557,0.0220588235294118,0.00658138700996086,0.118464966179295
mediumpurple3,7,63,78,0.063,0.051,4,137,15712,0.000268073540225176,14.2610484432771,0.0291970802919708,0.0158304480069814,0.300778512132647
white,6,90,58,0.044,0.069,4,144,15712,0.000337240708497345,13.4049884123887,0.0277777777777778,0.0189192037467011,0.378384074934022
darkmagenta,2,148,104,0.041,0.058,6,246,15712,0.000448623698389641,6.66597390705963,0.024390243902439,0.0228798086178717,0.503355789593177
sienna3,7,72,78,0.056,0.051,4,146,15712,0.000447633145378466,12.3653429713666,0.0273972602739726,0.0228798086178717,0.502244389114638
green,6,534,58,0.015,0.138,8,584,15712,0.000725267684014749,4.6007043601698,0.0136986301369863,0.0353804496288934,0.813750341464549
red,5,517,24,0.01,0.208,5,536,15712,0.000957031401538993,7.79881352541045,0.00932835820895522,0.0447412180219479,1
white,7,90,78,0.044,0.051,4,164,15712,0.00103932763890975,9.76727506541106,0.024390243902439,0.0466450244342697,1
sienna3,2,72,104,0.056,0.038,4,172,15712,0.00131951308107898,9.13720144625912,0.0232558139534884,0.0569420644988697,1
lightyellow,15,130,32,0.023,0.094,3,159,15712,0.00230358403990768,12.6601905744123,0.0188679245283019,0.0919524310264139,1
plum2,8,50,82,0.06,0.037,3,129,15712,0.00225043017335285,12.5805433364073,0.0232558139534884,0.0919524310264139,1
sienna3,6,72,58,0.042,0.052,3,127,15712,0.00237666711209091,12.3118488483205,0.0236220472440945,0.0919524310264139,1
steelblue,6,77,58,0.039,0.052,3,132,15712,0.00287731986847712,11.4768650299775,0.0227272727272727,0.107611763081044,1
green,12,534,58,0.013,0.121,7,585,15712,0.00337667500503518,3.93923961762356,0.011965811965812,0.122213850182241,1
mediumpurple3,13,63,80,0.048,0.038,3,140,15712,0.00405236017673295,10.1051844046065,0.0214285714285714,0.142085878696699,1
cyan,15,169,32,0.018,0.094,3,198,15712,0.0048223704669334,9.66409042858415,0.0151515151515152,0.159138225408802,1
purple,5,225,24,0.013,0.125,3,246,15712,0.00469692039123722,9.94802782847172,0.0121951219512195,0.159138225408802,1
skyblue3,9,70,24,0.029,0.083,2,92,15712,0.00506876379378072,20.857458378789,0.0217391304347826,0.162490085046342,1
lightyellow,14,130,88,0.031,0.045,4,214,15712,0.00610763163821533,5.85536585555793,0.0186915887850467,0.187609622632511,1
indianred4,6,32,58,0.062,0.034,2,88,15712,0.00618677008681185,18.5820522472461,0.0227272727272727,0.187609622632511,1
orange,4,92,66,0.033,0.045,3,155,15712,0.00681255113097577,8.32006520427477,0.0193548387096774,0.201149536025127,1
lightcoral,10,32,64,0.062,0.031,2,94,15712,0.00748831829687333,16.775840024404,0.0212765957446809,0.215433157156202,1
lightpink4,3,43,53,0.047,0.038,2,94,15712,0.00922843046844302,14.9268691554794,0.0212765957446809,0.258857474639827,1
orange,7,92,78,0.033,0.038,3,167,15712,0.0107709251655893,6.98538150554545,0.0179640718562874,0.293189519064927,1
lightpink4,12,43,58,0.047,0.034,2,99,15712,0.0109750087350507,13.5944464388465,0.0202020202020202,0.293189519064927,1
coral1,10,40,64,0.05,0.031,2,102,15712,0.011532723903753,13.2368456440514,0.0196078431372549,0.300923633023508,1
grey60,17,920,44,0.008,0.159,7,957,15712,0.0132416054133402,3.05711906707228,0.00731452455590387,0.331886100861798,1
darkmagenta,3,148,53,0.02,0.057,3,198,15712,0.013606738538006,6.41742286601201,0.0151515151515152,0.331886100861798,1
purple,10,225,64,0.018,0.062,4,285,15712,0.0133141866762842,4.65319268520271,0.0140350877192982,0.331886100861798,1
saddlebrown,16,81,100,0.037,0.03,3,178,15712,0.0149173698000504,6.15736831661745,0.0168539325842697,0.341577324809317,1
purple,4,225,66,0.018,0.061,4,287,15712,0.0147738656595437,4.50214590201749,0.0139372822299652,0.341577324809317,1
darkturquoise,13,100,80,0.03,0.038,3,177,15712,0.0144302906266278,6.23771953572756,0.0169491525423729,0.341577324809317,1
