Module1.name,Module2.name,Module1.size,Module2.size,Module1.proportion.overlap,Module2.proportion.overlap,intersection.size,union.size,genome.size,p.value,odds.ratio,Jaccard.index,FDR,Bonferroni
mito_genes,37,252,300,0.139,0.117,35,517,14827,1.34066371698703e-19,8.70606404253243,0.0676982591876209,2.57407433661509e-17,2.57407433661509e-17
oxphos_genes,37,117,300,0.214,0.083,25,392,14827,6.39451460616617e-19,14.2482503385971,0.0637755102040816,6.13873402191952e-17,1.2277468043839e-16
complex_I,37,64,300,0.188,0.04,12,352,14827,4.85292042752312e-09,11.5913008827341,0.0340909090909091,3.1058690736148e-07,9.3176072208444e-07
mito_sig_genenames,37,10,300,0.4,0.013,4,306,14827,3.13364190252142e-05,32.6747594872879,0.0130718954248366,0.00150414811321028,0.00601659245284112
mito_genes,1,252,119,0.032,0.067,8,363,14827,0.000964350969875674,4.27198297896098,0.0220385674931129,0.0370310772432259,0.185155386216129
complex_I,21,64,504,0.125,0.016,8,560,14827,0.00140110390593031,4.10842119253279,0.0142857142857143,0.04483532498977,0.26901194993862
oxphos_genes,1,117,119,0.043,0.042,5,231,14827,0.00250941292999776,5.71409531078392,0.0216450216450216,0.0688296117942242,0.481807282559569
oxphos_genes,21,117,504,0.085,0.02,10,611,14827,0.00653483481628361,2.68917530253731,0.016366612111293,0.156836035590807,1
mito_genes,21,252,504,0.063,0.032,16,740,14827,0.0124920672172836,1.95695754931916,0.0216216216216216,0.266497433968717,1
complex_I,34,64,358,0.078,0.014,5,417,14827,0.019028579788333,3.45889883816136,0.0119904076738609,0.365348731935994,1
oxphos_genes,34,117,358,0.06,0.02,7,468,14827,0.0233305531165396,2.60301573512794,0.014957264957265,0.407224199852328,1
mito_sig_genenames,30,10,561,0.2,0.004,2,569,14827,0.0525820513362459,6.37463414278074,0.00351493848857645,0.841312821379934,1
complex_I,40,64,836,0.109,0.008,7,893,14827,0.0677891867380444,2.06402640159906,0.00783874580067189,0.929680275264608,1
oxphos_genes,40,117,836,0.094,0.013,11,942,14827,0.0658430195583924,1.74645288913893,0.0116772823779193,0.929680275264608,1
mito_genes,35,252,446,0.048,0.027,12,686,14827,0.0790911536470015,1.62906778315957,0.0174927113702624,0.949093843764018,1
mito_sig_genenames,1,10,119,0.1,0.008,1,128,14827,0.0774441493767653,13.8356132611035,0.0078125,0.949093843764018,1
complex_I,47,64,387,0.016,0.003,1,450,14827,0.81664076412911,0.591223182194585,0.00222222222222222,1,1
complex_I,31,64,848,0.078,0.006,5,907,14827,0.302954586715099,1.39931017510248,0.00551267916207277,1,1
complex_I,6,64,88,0,0,0,152,14827,1,0,0,1,1
complex_I,2,64,127,0,0,0,191,14827,1,0,0,1,1
complex_I,15,64,192,0,0,0,256,14827,1,0,0,1,1
complex_I,3,64,119,0.016,0.008,1,182,14827,0.403593712686506,1.96987573473361,0.0054945054945055,1,1
complex_I,46,64,507,0,0,0,571,14827,1,0,0,1,1
complex_I,4,64,75,0,0,0,139,14827,1,0,0,1,1
complex_I,24,64,278,0.031,0.007,2,340,14827,0.338183858117661,1.69311243870527,0.00588235294117647,1,1
complex_I,8,64,495,0,0,0,559,14827,1,0,0,1,1
complex_I,29,64,384,0,0,0,448,14827,1,0,0,1,1
complex_I,30,64,561,0.031,0.004,2,623,14827,0.702750535361334,0.8196750004082,0.00321027287319422,1,1
complex_I,45,64,513,0.031,0.004,2,575,14827,0.654704647252018,0.89969635516642,0.00347826086956522,1,1
complex_I,26,64,724,0,0,0,788,14827,1,0,0,1,1
complex_I,18,64,133,0.016,0.008,1,196,14827,0.438931549218901,1.75928781629821,0.00510204081632653,1,1
complex_I,9,64,43,0,0,0,107,14827,1,0,0,1,1
complex_I,39,64,302,0.016,0.003,1,365,14827,0.732827770873649,0.762654899182146,0.00273972602739726,1,1
complex_I,36,64,173,0,0,0,237,14827,1,0,0,1,1
complex_I,17,64,107,0,0,0,171,14827,1,0,0,1,1
complex_I,1,64,119,0.031,0.017,2,181,14827,0.0934380087479842,4.03751387998384,0.0110497237569061,1,1
complex_I,5,64,131,0,0,0,195,14827,1,0,0,1,1
complex_I,13,64,281,0.016,0.004,1,344,14827,0.706887128288399,0.821041467365813,0.00290697674418605,1,1
complex_I,7,64,103,0,0,0,167,14827,1,0,0,1,1
