hgnc_symbol,gene_biotype
A1BG,protein_coding
A1BG-AS1,antisense
A2M,protein_coding
A2M-AS1,antisense
A2ML1,protein_coding
A2MP1,pseudogene
AAAS,protein_coding
AACS,protein_coding
AAED1,protein_coding
AAGAB,protein_coding
AAK1,protein_coding
AAMDC,protein_coding
AAMP,protein_coding
AANAT,protein_coding
AAR2,protein_coding
AARD,protein_coding
AARS,protein_coding
AARS2,protein_coding
AARSD1,protein_coding
AASDH,protein_coding
AASDHPPT,protein_coding
AATF,protein_coding
AATK,protein_coding
AATK-AS1,antisense
ABAT,protein_coding
ABCA1,protein_coding
ABCA10,protein_coding
ABCA11P,pseudogene
ABCA12,protein_coding
ABCA13,protein_coding
ABCA17P,pseudogene
ABCA2,protein_coding
ABCA3,protein_coding
ABCA4,protein_coding
ABCA5,protein_coding
ABCA6,protein_coding
ABCA7,protein_coding
ABCA8,protein_coding
ABCA9,protein_coding
ABCB1,protein_coding
ABCB10,protein_coding
ABCB4,protein_coding
ABCB5,protein_coding
ABCB7,protein_coding
ABCB8,protein_coding
ABCB9,protein_coding
ABCC1,protein_coding
ABCC10,protein_coding
ABCC11,protein_coding
ABCC12,protein_coding
ABCC13,pseudogene
ABCC2,protein_coding
ABCC3,protein_coding
ABCC4,protein_coding
ABCC5,protein_coding
ABCC6,protein_coding
ABCC6P1,pseudogene
ABCC8,protein_coding
ABCC9,protein_coding
ABCD1,protein_coding
ABCD3,protein_coding
ABCD4,protein_coding
ABCE1,protein_coding
ABCF1,protein_coding
ABCF2,protein_coding
ABCF3,protein_coding
ABCG1,protein_coding
ABCG4,protein_coding
ABCG5,protein_coding
ABHD1,protein_coding
ABHD10,protein_coding
ABHD11,protein_coding
ABHD12,protein_coding
ABHD12B,protein_coding
ABHD13,protein_coding
ABHD14A,protein_coding
ABHD14B,protein_coding
ABHD15,protein_coding
ABHD16A,protein_coding
ABHD16B,protein_coding
ABHD17A,protein_coding
ABHD17AP3,pseudogene
ABHD17AP4,pseudogene
ABHD17AP5,pseudogene
ABHD17B,protein_coding
ABHD17C,protein_coding
ABHD2,protein_coding
ABHD3,protein_coding
ABHD4,protein_coding
ABHD5,protein_coding
ABHD6,protein_coding
ABHD8,protein_coding
ABI1,protein_coding
ABI2,protein_coding
ABI3,protein_coding
ABI3BP,protein_coding
ABL1,protein_coding
ABL2,protein_coding
ABLIM1,protein_coding
ABLIM2,protein_coding
ABLIM3,protein_coding
ABO,processed_transcript
ABO,protein_coding
ABR,protein_coding
ABRA,protein_coding
ABRACL,protein_coding
ABT1,protein_coding
ABTB1,protein_coding
ABTB2,protein_coding
ACAA1,protein_coding
ACAA2,protein_coding
ACACA,protein_coding
ACACB,protein_coding
ACAD10,protein_coding
ACAD11,protein_coding
ACAD8,protein_coding
ACAD9,protein_coding
ACADL,protein_coding
ACADM,protein_coding
ACADS,protein_coding
ACADSB,protein_coding
ACADVL,protein_coding
ACAN,protein_coding
ACAP1,protein_coding
ACAP2,protein_coding
ACAP2-IT1,sense_intronic
ACAP3,protein_coding
ACAT1,protein_coding
ACAT2,protein_coding
ACBD3,protein_coding
ACBD4,protein_coding
ACBD5,protein_coding
ACBD6,protein_coding
ACCS,protein_coding
ACD,protein_coding
ACE,protein_coding
ACE2,protein_coding
ACER3,protein_coding
ACHE,protein_coding
ACIN1,protein_coding
ACKR2,protein_coding
ACKR3,protein_coding
ACKR4,protein_coding
ACLY,protein_coding
ACN9,protein_coding
ACO1,protein_coding
ACO2,protein_coding
ACOT1,protein_coding
ACOT11,protein_coding
