Ensembl	symbol	MMgreen	MMturquoise	MMblue	MMred	MMblack	MMpink
ENSG00000000419	DPM1	-0.268093416022749	-0.755743024851459	0.903013050398019	0.637317482448901	0.203683651499261	0.104148873195936
ENSG00000000457	SCYL3	-0.0853467868927889	-0.259593293739173	0.290317956054285	0.813492724439899	-0.727150709874741	-0.0611641050150667
ENSG00000000460	C1orf112	0.165303256353125	-0.537424169295658	0.519872418503036	0.628626189577306	-0.174368214215229	0.0983894406756063
ENSG00000000938	FGR	-0.168888634534373	0.847546270342811	-0.694877446083323	-0.377202150300448	-0.30452464207722	-0.231088015095242
ENSG00000001036	FUCA2	-0.385650174684175	-0.601332682111735	0.813503661456516	0.409505517648472	0.390757296942708	0.0309900959820124
ENSG00000001084	GCLC	-0.260228247422322	-0.543991195220289	0.615502965290502	0.415453126015806	0.179967399736486	-0.0884845184995181
ENSG00000001167	NFYA	0.0994019948380674	-0.0783597079026121	0.203017627606005	-0.0675531662747011	0.401728330815139	-0.147760058395758
ENSG00000001460	STPG1	0.0469020437153072	0.131025578197154	-0.217248548069745	-0.0115124455359471	-0.210828293618211	0.10270474000292
ENSG00000001461	NIPAL3	-0.205082815519848	0.0374311924832275	0.0779534047596185	0.409642720860481	-0.428802686951466	0.178288694826678
ENSG00000001497	LAS1L	-0.296209324154067	0.550933172288055	-0.28612913292145	-0.292855384376768	-0.0627212847252128	-0.135911914309678
ENSG00000001561	ENPP4	-0.0571199342208178	-0.588846391768846	0.631529363650877	0.372247552422981	0.25736429259345	0.194041445238284
ENSG00000001629	ANKIB1	-0.144457695069395	-0.735398772290071	0.818888829498391	0.848204862203346	-0.12957317299052	0.0251697450007602
ENSG00000001630	CYP51A1	-0.19404316503368	-0.581679057249135	0.730900550882254	0.407085490010008	0.318268355414293	0.0961314977011501
ENSG00000001631	KRIT1	0.173747498054574	-0.541794907508286	0.65571686907472	0.777283820403422	-0.221288599716615	-0.0847610883590059
ENSG00000002016	RAD52	0.335073054469358	0.0432507198694817	-0.030244691978418	0.383886330794935	-0.573499490655307	-0.0488227479665112
ENSG00000002330	BAD	-0.190318441416137	0.879989159537285	-0.536606555079916	-0.475191123349566	-0.0747243424656706	-0.054013440732503
ENSG00000002549	LAP3	-0.312049749962863	-0.279128222705885	0.285446779486829	0.352708588972121	-0.0720577070697366	-0.118952327486294
ENSG00000002586	CD99	-0.395621578056593	0.223329036733899	0.0246057603133508	-0.219505775736045	0.294842772258087	0.114348936913132
ENSG00000002822	MAD1L1	-0.144059782476696	0.887325450036238	-0.652155107951801	-0.389663305471064	-0.327377688128564	-0.0948836417608656
ENSG00000002834	LASP1	-0.188393938211713	0.78340921754802	-0.767717810587211	-0.614922891197031	-0.056400884502409	-0.0826849239172527
ENSG00000002919	SNX11	-0.372324779758697	0.186840315014533	-0.0386374557854667	0.214844086209024	-0.250053985252995	-0.064149189378015
ENSG00000002933	TMEM176A	-0.198407515523393	0.0807093270545075	-0.0242387841623497	-0.0331131761460575	0.023881873745797	0.0227136633341638
ENSG00000003056	M6PR	-0.403202588315624	-0.566564252679713	0.728046420894147	0.738278182590187	-0.12828530544543	0.0376032262904336
ENSG00000003147	ICA1	0.0289281098043884	-0.422580764700925	0.47415853489923	0.232225889518623	0.226814139950653	0.0634426425860167
ENSG00000003393	ALS2	-0.0960611733296587	-0.596460398792606	0.68630646093793	0.714124225509631	-0.105525267331005	0.0541859325229579
ENSG00000003400	CASP10	-0.100108281195244	0.108411896760816	-0.202935788392757	0.389082437891667	-0.650973975059948	-0.0335907938227607
ENSG00000003402	CFLAR	0.219405725073312	0.0994905980658708	-0.0647060657091175	0.194255641767738	-0.274534741493311	-0.251039187204127
ENSG00000003436	TFPI	0.730382219208458	-0.286327665982043	0.151491408827759	0.192593161598088	-0.111403001684027	0.249032711151918
ENSG00000003509	NDUFAF7	0.141501823949891	-0.63365545315669	0.622448468932091	0.637270098334166	-0.167114883428051	-0.0169391223928225
ENSG00000003756	RBM5	0.345176667777369	-0.296288407170842	0.30681407157336	0.553853673007018	-0.395280577905952	-0.176418939897994
ENSG00000003987	MTMR7	0.624375868955104	-0.416408473360868	0.419930794018343	0.261066675881921	0.168689138433072	-0.0159896246570504
ENSG00000004059	ARF5	-0.391597719768834	0.776211176020835	-0.472897864373306	-0.441211934655571	-0.0473410884823315	-0.0897512969478264
ENSG00000004139	SARM1	0.2180068827658	0.719772967468044	-0.721970495638671	-0.456947291135309	-0.241230697165271	-0.0136999076233071
ENSG00000004142	POLDIP2	-0.451209808352614	0.480017272891817	-0.413364379059222	-0.474638266748664	0.167689477869215	0.0506866739446349
ENSG00000004399	PLXND1	-0.0149012807375439	0.931122235482377	-0.787439303469926	-0.603520564708527	-0.153425021386814	-0.174304567706912
ENSG00000004455	AK2	-0.505263680283426	-0.481471938043307	0.575142208096089	0.43851828768804	0.0897974894859059	-0.023960609234094
